Academic Year,Adobe Illustrator,Adobe InDesign,Adobe Photoshop,Android,Arduino,C#,C++,Computer Foundation,Data Analytics,Database,DevOps,Flutter,Full Stack,Graphic Design,Java,Laravel,Linux,Network,Node JS,PHP,Python,Spring,UX/UI,Web Design,iOS
2017,1,1,7,0,0,31,59,11,0,0,0,2,1,0,4,0,0,0,0,3,0,1,0,16,0
2018,0,0,0,3,0,21,59,7,0,0,0,0,0,0,13,0,0,0,0,4,1,0,0,30,0
2019,0,0,6,0,0,18,58,3,0,0,0,1,0,0,2,0,0,0,0,1,2,0,0,28,0
2021,0,0,0,0,2,6,129,0,0,0,0,0,2,0,17,1,0,0,0,0,2,1,0,24,0
2022,0,0,0,12,1,11,215,0,7,0,4,25,9,0,34,0,0,0,10,1,12,16,1,144,5
2023,0,0,0,0,1,9,203,0,8,1,29,18,3,1,45,0,11,1,1,0,3,46,0,170,0
