Course,Freq_Count
Adobe Illustrator,-4.0
Adobe InDesign,-4.0
Adobe Photoshop,11.0
Android,32.0
Arduino,4.0
C#,92.0
C++,1916.0
Computer Foundation,-20.0
Data Analytics,83.0
Database,8.0
DevOps,250.0
Flutter,204.0
Full Stack,35.0
Graphic Design,8.0
Java,401.0
Laravel,-3.0
Linux,91.0
Network,8.0
Node JS,31.0
PHP,0.0
Python,61.0
Spring,411.0
UX/UI,0.0
Web Design,1816.0
iOS,14.0
